category_name,subcategory_or_tool,tool_title,tool_url,sku_count,sku_list,variant_count,variants_json
Compound Tubes,Cam Lock Tube,Cam Lock Tube,https://www.columbiatools.com/columbia-tools/compound-tubes/cam-lock-tube/,4,CLT24 | CLT32 | CLT42 | CLT55,4,"[{""label"": ""24\"""", ""sku"": ""CLT24""}, {""label"": ""32\"""", ""sku"": ""CLT32""}, {""label"": ""42\"""", ""sku"": ""CLT42""}, {""label"": ""55\"""", ""sku"": ""CLT55""}]"
Compound Tubes,Cam Lock Tube Box Filler,Cam Lock Tube Box Filler,https://www.columbiatools.com/columbia-tools/compound-tubes/cam-lock-tube-box-filler/,1,CLTBF,1,"[{""label"": ""Cam Lock Tube Box Filler"", ""sku"": ""CLTBF""}]"
Maintenance Kits,Automatic Taper Maintenance Kits,Automatic Taper Maintenance Kits,https://www.columbiatools.com/columbia-tools/maintenance-kits/automatic-taper-maintenance-kits/,0,,0,[]
Maintenance Kits,Finishing Box Maintenance Kits,Finishing Box Maintenance Kits,https://www.columbiatools.com/columbia-tools/maintenance-kits/finishing-box-maintenance-kits/,0,,0,[]
Maintenance Kits,Nailspotter Maintenance Kits,Nailspotter Maintenance Kits,https://www.columbiatools.com/columbia-tools/maintenance-kits/nailspotter-maintenance-kits/,0,,0,[]
Maintenance Kits,Anglehead Maintenance Kits,Anglehead Maintenance Kits,https://www.columbiatools.com/columbia-tools/maintenance-kits/anglehead-maintenance-kits/,0,,0,[]
Maintenance Kits,Corner Roller Maintenance Kits,Corner Roller Maintenance Kits,https://www.columbiatools.com/columbia-tools/maintenance-kits/corner-roller-maintenance-kits/,0,,0,[]
Maintenance Kits,Handle Maintenance Kits,Handle Maintenance Kits,https://www.columbiatools.com/columbia-tools/maintenance-kits/handle-maintenance-kits/,0,,0,[]
Maintenance Kits,Mud Pump Maintenance Kit,Mud Pump Maintenance Kit,https://www.columbiatools.com/columbia-tools/maintenance-kits/mud-pump-maintenance-kit/,0,,0,[]
Grooved Mud Heads,Inside 90 Grooved Mud Heads,Inside 90 Grooved Mud Heads,https://www.columbiatools.com/columbia-tools/grooved-mud-heads/inside-90-grooved-mud-heads/,1,IA90,1,"[{""label"": ""Inside 90 Grooved Mud Heads"", ""sku"": ""IA90""}]"
Grooved Mud Heads,Outside 90 Grooved Mud Heads,Outside 90 Grooved Mud Heads,https://www.columbiatools.com/columbia-tools/grooved-mud-heads/outside-90-grooved-mud-heads/,0,,0,[]
Grooved Mud Heads,Flat Grooved Mud Heads,Flat Grooved Mud Heads,https://www.columbiatools.com/columbia-tools/grooved-mud-heads/flat-grooved-mud-heads/,1,FMH,1,"[{""label"": ""Flat Grooved Mud Heads"", ""sku"": ""FMH""}]"
