Brand,SKU,Product Name,notes
Columbia Taping Tools,AB3A RIGHT,Columbia Automatic Box End Plate Right (AB3A RIGHT),ab3a-right.webp
Columbia Taping Tools,AB1,Columbia Automatic Box Handle Body (AB1),ab1.webp
Columbia Taping Tools,AB50,Columbia Automatic Box Pressure Spring (AB50),ab50.webp
Columbia Taping Tools,AB51,Columbia Automatic Box Release Clip (AB51),ab51.webp
Columbia Taping Tools,AB52,Columbia Automatic Box Thumb Valve Seat (AB52),ab52.webp
Columbia Taping Tools,CF15-3.5,"Columbia Corner Flusher Tension Spring 15 x 3.5"" (CF15-3.5)",cf15-3-5.webp
Columbia Taping Tools,FG4-45,"Columbia Flat Box 45 Degree Corner Guide 4"" (FG4-45)",fg4-45.webp
Columbia Taping Tools,FFB11-10,"Columbia Flat Box Adjustment Screw 10"" (FFB11-10)",ffb11-10.webp
Columbia Taping Tools,FG3A,Columbia Flat Box Angle Guide 3A (FG3A),fg3a.webp
Columbia Taping Tools,FFB41,Columbia Flat Box Axle Assembly (FFB41),ffb41.webp
Columbia Taping Tools,FFB1B,Columbia Flat Box Body 1B (FFB1B),ffb1b.webp
Columbia Taping Tools,FFB4C,"Columbia Flat Box Corner Blade Assembly 4"" (FFB4C)",ffb4c.webp
Columbia Taping Tools,FFB38,Columbia Flat Box Corner Plate (FFB38),ffb38.webp
Columbia Taping Tools,FFB40-10,"Columbia Flat Box Door Gasket 10"" (FFB40-10)",ffb40-10.webp
Columbia Taping Tools,FFB 42,Columbia Flat Box Door Pivot (FFB 42),ffb-42.webp
Columbia Taping Tools,FFB44,Columbia Flat Box Door Pivot Pin (FFB44),ffb44.webp
Columbia Taping Tools,FFB 16A,Columbia Flat Box Handle Bracket 16A (FFB 16A),ffb-16a.webp
Columbia Taping Tools,FFB8,"Columbia Flat Box Main Body 8"" (FFB8)",ffb8.webp
Columbia Taping Tools,FFB37,Columbia Flat Box Retaining Pin (FFB37),ffb37.webp
Columbia Taping Tools,FFB SA,Columbia Flat Box Side Arm Assembly (FFB SA),ffb-sa.webp
