sku,type,product_name,image_count,images_applied
SSB12,variation,Columbia Sabre Smoothing Blade,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sabre-smoothing-blade-claw-adapter-SBC-01.webp
SSB14,variation,Columbia Sabre Smoothing Blade,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sabre-smoothing-blade-claw-adapter-SBC-01.webp
SSB16,variation,Columbia Sabre Smoothing Blade,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sabre-smoothing-blade-claw-adapter-SBC-01.webp
SSB18,variation,Columbia Sabre Smoothing Blade,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sabre-smoothing-blade-claw-adapter-SBC-01.webp
SSB24,variation,Columbia Sabre Smoothing Blade,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sabre-smoothing-blade-claw-adapter-SBC-01.webp
SSB32,variation,Columbia Sabre Smoothing Blade,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sabre-smoothing-blade-claw-adapter-SBC-01.webp
SSB40,variation,Columbia Sabre Smoothing Blade,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sabre-smoothing-blade-claw-adapter-SBC-01.webp
SSB48,variation,Columbia Sabre Smoothing Blade,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sabre-smoothing-blade-claw-adapter-SBC-01.webp
SBC,simple,Columbia Sabre Smoothing Blade Claw Adapter,1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sabre-smoothing-blade-claw-adapter-SBC-01.webp
SBP,simple,"Columbia 41-75"" Sabre Smoothing Blade Extension Pole",1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sabre-smoothing-blade-claw-adapter-SBC-01.webp
SBSET,simple,Columbia Sabre Set,2,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sabre-set-SBSET-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sabre-set-SBSET-02.webp
STAPER,simple,"Columbia Sawed Off Taper 39"" (STAPER)",8,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sawed-off-taper-39-STAPER-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sawed-off-taper-39-STAPER-02.web
SPTAPER,simple,"Columbia Sawed Off Taper 53"" (SPTAPER)",8,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sawed-off-taper-39-STAPER-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-sawed-off-taper-39-STAPER-02.web
SAT,simple,Columbia Semi Automatic Taper (SAT),10,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-automatic-taper-TAPER-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-automatic-taper-TAPER-02.webp | http
TCS,simple,Columbia Semi Automatic Tool Case,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-semi-automatic-commando-set-SACS-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-semi-automatic-taper-SAT-
12-4.7-0.4-S-C-C,variation,Columbia Silver 0.4 Curved Blade Stainless Steel Finishing T,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-trowels-12-silver-curve-trowel-12-4-7-0-4-S-C-C-01-dup2.webp
14-4.7-0.4-S-C-C,variation,Columbia Silver 0.4 Curved Blade Stainless Steel Finishing T,5,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-trowels-14-silver-curve-trowel-14-4-7-0-4-S-C-C-01.webp
COLHTBDL1,simple,Columbia Stainless Steel Hand Tool Finishing Set,1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-promaxx-stainless-steel-hand-tool-set-joint-taping-knives-tapetech-promaxx-stainless-steel-01.webp
C12MP,variation,Columbia Stainless Steel Mud Pan with Mud Grip,1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-mud-pans-12-C12MP-6-01.webp
C14MP,variation,Columbia Stainless Steel Mud Pan with Mud Grip,1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-mud-pans-14-C14MP-6-01.webp
C16MP,variation,Columbia Stainless Steel Mud Pan with Mud Grip,1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-mud-pans-16-C16MP-6-01.webp
COLHTBDL3,simple,Columbia Stainless Steel Taping Knife Set,7,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-6-8-10-12-stainless-steel-taping-knife-kit-w-pan-72019-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-pre
CTK8,variation,Columbia Stainless Steel Taping Knife with Soft Grip Handle,2,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-taping-knives-8-CTK8-01.webp
