schematic_id,source_json,old_name,new_name
platinum-flat-finishing-box-sch,Platinum/Schematics/FlatBox/schematic_data.json,PLATINUM-FLAT-BOX-SCH,1,0,top_score=0.000
platinum-outside-90-degree-corner-roller-sch,Platinum/Schematics/OutsideCornerRoller/schematic_data.json,PLATINUM-OUTSIDE-CORNERROLLER-SCH,1,0,top_score=0.000
tapetech-90-inside-corner-edger-tapetech-20ttx-sch,TapeTech/Schematics/20TTX/schematic_data.json,20TTX-SCH,1,0,top_score=0.000
tapetech-90-inside-corner-edger-tapetech-25ttx-sch,TapeTech/Schematics/25TTX/schematic_data.json,25TTX-SCH,1,0,top_score=0.000
tapetech-90-inside-corner-edger-tapetech-30ttx-sch,TapeTech/Schematics/30TTX/schematic_data.json,30TTX-SCH,1,0,top_score=0.000
tapetech-90-inside-corner-edger-tapetech-40tt-sch,TapeTech/Schematics/40TT/schematic_data.json,40TT-SCH,1,0,top_score=0.000
tapetech-90-inside-corner-edger-tapetech-42tt-sch,TapeTech/Schematics/42TT/schematic_data.json,42TT-SCH,1,0,top_score=0.000
tapetech-90-inside-corner-edger-tapetech-45tt-sch,TapeTech/Schematics/45TT/schematic_data.json,45TT-SCH,1,0,top_score=0.000
tapetech-90-inside-corner-edger-tapetech-48tt-sch,TapeTech/Schematics/48TT/schematic_data.json,48TT-SCH,1,0,top_score=0.000
tapetech-corner-applicator-sch,TapeTech/Schematics/35TT/schematic_data.json,35TT-SCH,1,0,top_score=0.000
tapetech-corner-applicator-sch-2,TapeTech/Schematics/50TT/schematic_data.json,50TT-SCH,1,0,top_score=0.000
tapetech-easyclean-nail-spotter-sch,TapeTech/Schematics/63TT/schematic_data.json,63TT-SCH,1,0,top_score=0.000
tapetech-easyclean-nail-spotter-sch-2,TapeTech/Schematics/68TT/schematic_data.json,68TT-SCH,1,0,top_score=0.000
tapetech-flat-box-handle-sch,TapeTech/Schematics/8054TT/schematic_data.json,8054TT-SCH,1,0,top_score=0.000
