category_name,family_name,family_type,attribute_name,member_count,member_titles,member_urls,variant_count,variants_json
Pumps,Gooseneck,single-page,Size,1,Gooseneck,https://www.columbiatools.com/columbia-tools/pumps/gooseneck/,2,"[{""label"": ""GN"", ""sku"": ""GN""}, {""label"": ""TBGN"", ""sku"": ""TBGN""}]"
Pumps,Mud Pump,single-page,,1,Mud Pump,https://www.columbiatools.com/columbia-tools/pumps/mud-pump/,1,"[{""label"": ""Mud Pump"", ""sku"": ""HMP""}]"
Pumps,Tall Boy Mud Pump,single-page,,1,Tall Boy Mud Pump,https://www.columbiatools.com/columbia-tools/pumps/tall-boy-mud-pump/,1,"[{""label"": ""Tall Boy Mud Pump"", ""sku"": ""TBMP""}]"
Sanders,Sander Head,single-page,Size,1,Sander Head,https://www.columbiatools.com/columbia-tools/sanders/sander-head/,2,"[{""label"": ""CS"", ""sku"": ""CS""}, {""label"": ""CSH"", ""sku"": ""CSH""}]"
Sanders,The Phantom Sander,single-page,,1,The Phantom Sander,https://www.columbiatools.com/columbia-tools/sanders/the-phantom-sander/,1,"[{""label"": ""The Phantom Sander"", ""sku"": ""PDDM""}]"
Semi Automatic Taper,Semi Automatic Taper,single-page,,1,Semi Automatic Taper,https://www.columbiatools.com/columbia-tools/semi-automatic-taper/semi-automatic-taper/,1,"[{""label"": ""Semi Automatic Taper"", ""sku"": ""SAT""}]"
Smoothing Blades,Fat Boy Smoothing Blades,single-page-override,Size,1,Fat Boy Smoothing Blades,https://www.columbiatools.com/columbia-tools/smoothing-blades/fatboy-smoothing-blades/,10,"[{""label"": ""7\"""", ""sku"": ""FSB7""}, {""label"": ""10\"""", ""sku"": ""FSB10""}, {""label"": ""12\"""", ""sku"": ""FSB12""}, {""label"": ""14\"""", ""sku"": ""FSB14""}, {""label"": ""16\"""", ""sku"": ""FSB16""}, {""label"": ""18\"""", ""sku"": ""FSB18""}, {""label"": ""24\"""", ""sku"": ""FSB24""}, {""label"": ""32\"""", ""sku"": ""FSB32""}, {""label"": ""40\"""", ""sku"": ""FSB40""}, {""label"": ""48\"""", ""sku"": ""FSB48""}]"
Smoothing Blades,Sabre Smoothing Blades,single-page-override,Size,1,Sabre Smoothing Blades,https://www.columbiatools.com/columbia-tools/smoothing-blades/sabre-smoothing-blades/,10,"[{""label"": ""7\"""", ""sku"": ""SSB7""}, {""label"": ""10\"""", ""sku"": ""SSB10""}, {""label"": ""12\"""", ""sku"": ""SSB12""}, {""label"": ""14\"""", ""sku"": ""SSB14""}, {""label"": ""16\"""", ""sku"": ""SSB16""}, {""label"": ""18\"""", ""sku"": ""SSB18""}, {""label"": ""24\"""", ""sku"": ""SSB24""}, {""label"": ""32\"""", ""sku"": ""SSB32""}, {""label"": ""40\"""", ""sku"": ""SSB40""}, {""label"": ""48\"""", ""sku"": ""SSB48""}]"
Smoothing Blades,Tomahawk Smoothing Blades,single-page-override,Size,1,Tomahawk Smoothing Blades,https://www.columbiatools.com/columbia-tools/tomahawk-smoothing-blades/tomahawk-smoothing-blades/,9,"[{""label"": ""7\"""", ""sku"": ""TSB7""}, {""label"": ""10\"""", ""sku"": ""TSB10""}, {""label"": ""12\"""", ""sku"": ""TSB12""}, {""label"": ""14\"""", ""sku"": ""TSB14""}, {""label"": ""18\"""", ""sku"": ""TSB18""}, {""label"": ""24\"""", ""sku"": ""TSB24""}, {""label"": ""32\"""", ""sku"": ""TSB32""}, {""label"": ""40\"""", ""sku"": ""TSB40""}, {""label"": ""48\"""", ""sku"": ""TSB48""}]"
Smoothing Blades,Tomalock,single-page,,1,Tomalock,https://www.columbiatools.com/columbia-tools/tomahawk-smoothing-blades/tomalock/,1,"[{""label"": ""Tomalock"", ""sku"": ""CLTHA""}]"
The Predator Family is Expanding,Automatic Taper,single-page,,1,Automatic Taper,https://www.columbiatools.com/columbia-tools/automatic-tapers/automatic-taper/,1,"[{""label"": ""Automatic Taper"", ""sku"": ""TAPER""}]"
The Predator Family is Expanding,Mud Pump,single-page,,1,Mud Pump,https://www.columbiatools.com/columbia-tools/pumps/mud-pump/,1,"[{""label"": ""Mud Pump"", ""sku"": ""HMP""}]"
The Predator Family is Expanding,Tall Boy Mud Pump,single-page,,1,Tall Boy Mud Pump,https://www.columbiatools.com/columbia-tools/pumps/tall-boy-mud-pump/,1,"[{""label"": ""Tall Boy Mud Pump"", ""sku"": ""TBMP""}]"
The Tool Sets,The Commando Set,single-page,,1,The Commando Set,https://www.columbiatools.com/columbia-tools/tool-sets/the-commando-set/,1,"[{""label"": ""The Commando Set"", ""sku"": ""SACS""}]"
The Tool Sets,The Predator Tactical Set,single-page,,1,The Predator Tactical Set,https://www.columbiatools.com/columbia-tools/tool-sets/the-predator-tactical-set/,1,"[{""label"": ""The Predator Tactical Set"", ""sku"": ""PTS""}]"
The Tool Sets,The Sabre Set,single-page,,1,The Sabre Set,https://www.columbiatools.com/columbia-tools/tool-sets/the-sabre-set/,1,"[{""label"": ""The Sabre Set"", ""sku"": ""SBSET""}]"
The Tool Sets,The Tactical Set,single-page,,1,The Tactical Set,https://www.columbiatools.com/columbia-tools/tool-sets/the-tactical-set/,1,"[{""label"": ""The Tactical Set"", ""sku"": ""TS""}]"
The Tool Sets,The Warrior Set,single-page,,1,The Warrior Set,https://www.columbiatools.com/columbia-tools/tool-sets/the-warrior-set/,1,"[{""label"": ""The Warrior Set"", ""sku"": ""TWS""}]"
