part_number,product_name,price,full_image_url,product_url
45,Part #45,18.20,https://durastilt.com/wp-content/uploads/2018/10/Entire-Spring-Assembly.webp,https://durastilt.com/product/part-45/
45.1,Part #45.1,20.44,https://durastilt.com/wp-content/uploads/2018/10/Hd-Entire-Spring-AssyD24.webp,https://durastilt.com/product/part-45-1/
46,Part #46,6.56,https://durastilt.com/wp-content/uploads/2018/10/Replace-Sole-W-Screws.webp,https://durastilt.com/product/part-46/
47.1,Part #47.1,27.26,https://durastilt.com/wp-content/uploads/2018/10/Forward-Adj-Leg-14-22.webp,https://durastilt.com/product/part-47-1/
47.2,Part #47.2,30.71,https://durastilt.com/wp-content/uploads/2018/10/Forward-Adj-Leg-18-30.webp,https://durastilt.com/product/part-47-2/
47.3,Part #47.3,34.61,https://durastilt.com/wp-content/uploads/2018/10/Forward-Adj-Leg-24-40.webp,https://durastilt.com/product/part-47-3/
48,Part #48,6.14,https://durastilt.com/wp-content/uploads/2018/10/Lg-Nylon-Ext-Tube-Sleeve.webp,https://durastilt.com/product/part-48/
49,Part #49,4.23,https://durastilt.com/wp-content/uploads/2018/10/Sm-Nylon-Ext-Tube-Sleeve.webp,https://durastilt.com/product/part-49/
50.114,Part #50.114,31.06,https://durastilt.com/wp-content/uploads/2018/10/Left-Rear-Adj-Leg-14-22.webp,https://durastilt.com/product/part-50-114/
50.118,Part #50.118,34.46,https://durastilt.com/wp-content/uploads/2018/10/Left-Rear-Adj-Leg-18-30.webp,https://durastilt.com/product/part-50-118/
50.124,Part #50.124,37.16,https://durastilt.com/wp-content/uploads/2018/10/Left-Rear-Adj-Leg-24-40.webp,https://durastilt.com/product/part-50-124/
50.214,Part #50.214,31.06,https://durastilt.com/wp-content/uploads/2018/10/Right-Rear-Adj-Leg-14-22.webp,https://durastilt.com/product/part-50-214/
50.218,Part #50.218,34.46,https://durastilt.com/wp-content/uploads/2018/10/Right-Rear-Adj-Leg-18-30.webp,https://durastilt.com/product/part-50-218/
50.224,Part #50.224,37.16,https://durastilt.com/wp-content/uploads/2018/10/Right-Rear-Adj-Leg-24-40.webp,https://durastilt.com/product/part-50-224/
51.1,Part #51.1,28.14,https://durastilt.com/wp-content/uploads/2018/10/Extention-Tube-14-22.webp,https://durastilt.com/product/part-51-1/
51.2,Part #51.2,29.92,https://durastilt.com/wp-content/uploads/2018/10/Extention-Tube-18-30.webp,https://durastilt.com/product/part-51-2/
51.3,Part #51.3,31.79,https://durastilt.com/wp-content/uploads/2018/10/Extention-Tube-24-40.webp,https://durastilt.com/product/part-51-3/
51.4,EXTENSION TUBE (34”-60” & 38”-64”),42.35,https://durastilt.com/wp-content/uploads/2022/07/EXTENTION-TUBE1024_1-MIN.webp,https://durastilt.com/product/part-51-4/
56.1,FORWARD ADJUSTABLE LEG (14”-22”),27.26,https://durastilt.com/wp-content/uploads/2022/07/FRONT-LEG-UNISTRUT-MIN.webp,https://durastilt.com/product/part-56-1/
56.2,FORWARD ADJUSTABLE LEG (18”-30”),30.69,https://durastilt.com/wp-content/uploads/2022/07/FRONT-LEG-UNISTRUT-MIN.webp,https://durastilt.com/product/part-56-2/
56.3,FORWARD ADJUSTABLE LEG (24”-40”),34.61,https://durastilt.com/wp-content/uploads/2022/07/FRONT-LEG-UNISTRUT-MIN.webp,https://durastilt.com/product/part-56-3/
56.4,FORWARD ADJUSTABLE LEG (34”-60”),45.10,https://durastilt.com/wp-content/uploads/2022/07/FRONT-LEG-UNISTRUT-MIN.webp,https://durastilt.com/product/part-56-4/
56.5,FORWARD ADJUSTABLE LEG (38”-64”),48.40,https://durastilt.com/wp-content/uploads/2022/07/FRONT-LEG-UNISTRUT-MIN.webp,https://durastilt.com/product/part-56-5/
57.114,LEFT REAR ADJUSTABLE LEG (14”-22”),31.63,https://durastilt.com/wp-content/uploads/2022/07/REAR-LEG-STRAIGHT-BRACKET.webp,https://durastilt.com/product/part-57-114/
57.114-O,LEFT REAR ADJUSTABLE LEG (14”-22”),31.63,https://durastilt.com/wp-content/uploads/2022/07/REAR-LEG-OFFSET-BRACKET.webp,https://durastilt.com/product/part-57-114-o/
57.118,LEFT REAR ADJUSTABLE LEG (18”-30”),35.02,https://durastilt.com/wp-content/uploads/2022/07/REAR-LEG-STRAIGHT-BRACKET.webp,https://durastilt.com/product/part-57-118/
57.118-O,LEFT REAR ADJUSTABLE LEG (18”-30”),35.02,https://durastilt.com/wp-content/uploads/2022/07/REAR-LEG-OFFSET-BRACKET.webp,https://durastilt.com/product/part-57-118-o/
57.124,LEFT REAR ADJUSTABLE LEG (24”-40”),37.72,https://durastilt.com/wp-content/uploads/2022/07/REAR-LEG-STRAIGHT-BRACKET.webp,https://durastilt.com/product/part-57-124/
57.124-O,LEFT REAR ADJUSTABLE LEG (24”-40”),37.72,https://durastilt.com/wp-content/uploads/2022/07/REAR-LEG-OFFSET-BRACKET.webp,https://durastilt.com/product/part-57-124-o/
